k,Tweeted?,submitted,uni,aff,year,body,additonal-info
Y,TRUE,6/15/2020 11:22:27,Brown University,Student,20,Graduated this year and It still doesn’t sit well with me that I was color checked before gaining entry to a party. My darker friends weren’t allowed to enter. This sadly wasn’t a one time thing.,
NO POST,FALSE,6/17/2020 21:51:42,Brown University,Student,1,Love what you’re doing here and hope to see more. Just a recommendation: maybe create a way for people to verify their affiliation with the school? Like a school email but preserving anonymity or something. Would hate to see trolls on this as it is an open form. Keep up the energy though ,
Y,FALSE,6/18/2020 14:10:28,Brown University,Student,2022,"During the first weeks of freshman year, my Hispanic boyfriend at the time came to visit me. I shared a triple with 2 other girls, and since it would be too cramped for him to spend the night in my room, we felt it best to hang out and sleep in one of the downstairs lounges. I had seen many students sleep in the lounge before after a drunken night with friends. At around 3 AM, we were awakened by the Public Safety officers “responding to a call of unauthorized trespassers.” Once they verified my student ID, they left. A couple weeks later, one of my friends told me who made the call. That person said that he had never seen either of us before and wanted to make sure we weren’t lost. Considering the large homeless population in the area, he wanted to ensure that we’d get back safe to wherever we were from. Then he laughed it off with his friends. As it was the first month of school, it makes sense that we didn’t know each other. It is impossible to enter the building without ID. I just question if he would have had called DPS had there been two white people in that lounge. His name is [redacted], and he currently has a host of defunding resources in his instagram bio. Be careful of people who try to shield their racism under the guise of progressivism.",
Y,TRUE,6/21/2020 15:29:57,Brown University,Student,2022,I had a white friend ask me if Black people had big prom send offs as celebrations because Black people don’t get married later in life. ,
Y,TRUE,6/21/2020 15:37:27,Brown University,Student,2022,A white girl I used to be friends with freshman year told me to bleach my skin as a “joke”  so I could get a dude to like me. Oh and she’s an education major that wants to teach in low income schools. ,
Y,FALSE,6/21/2020 22:06:12,Brown University,Alumni,2017,"I was waiting for a safe ride service one night. It was 19° and I was exhausted. The bus stopped and as I attempted to board, the driver asked me to show my ID. He said I wasn't actually a student, made me get off, and drove away. I had to walk nearly two miles in the cold to get back to my dorm.",
Y,TRUE,6/23/2020 14:27:32,Brown University,Alumni,2020,"One night, as I was walking to Jo’s (a late night dining hall), a white student spit on me and I kept walking...",
Y,FALSE,6/23/2020 17:37:29,Brown University,Student,2022,"My friends and I, all BIPOC, have been repeatedly turned away from frat & sports parties while white girls get let in behind us. F*ck your racist Greek life and f*ck your shitty sports teams funded by daddy’s money.",
NO POST,FALSE,6/24/2020 4:27:19,Brown University,Student,2022,"You’d think people would be more welcoming on a team. My freshman year at Brown, I was consistently gaslighted by my teammates simply because at the time, I was the only black girl from ‘22 on that team. Some of my white teammates would “take me under their wing”, under the guise of a white savior, as I’ve been to jail multiple times because I committed aggravated assault, possession of drugs and gotten in trouble with authorities plenty of times in my hometown before coming to Brown. I found it to be a cycle: they would do things that would upset me, i.e. “Try meditating. It can fix all the f**ked  up sh*t black people go through and do.”, get offended at my reaction, and then tell my coach. It wasn’t until I stopped talking about my experiences, is when they stopped using it against me. Albeit my team is much different now, the racism and trauma that Brown Athletics and Brown university teams exude is appalling. I should not be the first person you go to when you want to do “hood rat sh*t” because I grew up in the hood. Yes, I made it out, but do not glamorize my trauma and my experiences so as a white person, you can get your satisfaction in “knowing about the hood and what it’s about”. ",
Y,FALSE,6/24/2020 14:23:35,Brown University,Student,2020,"As one of the very few black girls in my sorority, someone else’s date came up to me at a formal and asked me where I was ‘really’ from. ",
Y,FALSE,6/24/2020 15:06:11,Brown University,Student,2022,An advisor in my department who just finished advising his other students on how to find study abroad programs decided for me that I shouldn’t even think of going abroad because an African like myself is already abroad and that I should be grateful to even be here. ,
Y,FALSE,6/25/2020 22:05:33,Brown University,Student,2023,I was denied entry to multiple parties at sports houses because of the color of my skin,
Y,FALSE,6/26/2020 0:50:22,Brown University,Student,,"Brown was my dream ivy ever since I attended their SPARKS STEM summer program when I was a kid. During the college application  process, Brown sent me mail for, and I quote, ""open house for COLORED  students. "" The largest print on the entire postcard, in all caps was the word ""COLORED"". That day I decided.....Brown was officially coming off my college list. I never attended Brown, but the reason why I decided not to pursue the school any further was because of this incident. ",
Y,FALSE,6/26/2020 14:49:35,Brown University,Student,2022,I had a white friend ask if me if Black People has prom send offs because we don’t get married. Btw her name is Ellianna Reynolds. ,
Y,FALSE,6/26/2020 22:48:44,Brown University,Student,2023,"I go to Brown but when I was applying to  colleges I went to my Yale interview and met an alumni. She proceeded to tell me that there was an incident of blackface at a party there and that it was ridiculous that the students involved would get in trouble. She said that everyone is too sensitive nowadays and if a “costume” offends you then you should just ignore it rather than getting them in trouble and jeopardizing the academic career of “good kids”. She then asked if I was another “sensitive liberal” who thought it was wrong and genuinely wanted me to agree with her. Needless to say, I didn’t pick Yale.",
,FALSE,6/27/2020 21:51:38,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
No Post,FALSE,6/27/2020 23:06:11,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
Y,FALSE,6/28/2020 0:09:30,Brown University,Student,2023,"So it was around Halloween of this past year, and I had heard from a friend something another girl said about me to her and another friend: the three of them were talking about Halloween costumes and my friend said he wanted to be Curious George and the Man in the Yellow Hat with someone else. This other girl said, “Oh! You should ask [me]! He looks like a monkey!” In kindergarten I was made fun of by white peers for “looking like a monkey,” and hearing this again from a brown student not only shocked me but viscerally hurt me, bringing back that childhood trauma. The worst part is that I see this girl all the time, and I don’t really have a choice. ",Please publish this. I want her to know how much she hurt me. She’ll know who she is. 
NO POST,FALSE,6/28/2020 1:04:39,Brown University,Alumni,2017,"Pre orientation at Brown a girl told me “you’re so lucky to be black and from the south. It’s so much easier getting into brown as a black girl from the south than as a white girl from Connecticut”

Also the provosts son who shouldn’t have even been at the school (pretty sure he was kicked out of music school for his drug problem and so his dad put him at brown) sexually assaulted me while I was having a psychotic episode

The night of the Trump election November 2016 my Black friend left our house and was racially harassed by the rugby boys who lived next door who cheered and shouted epithets at him from their porch",
Y,FALSE,6/28/2020 1:35:45,Brown University,Student,2023,I met a guy at a program meeting because he’s in the same program as me and they wanted the new class to meet each other. The guy asked my name and I told him and he said “i actually won’t remember your name it’s more of a formality. I’ll just remember you by your super spunky hair (it’s naturally curly)” the next day I said hi to him at Jo’s and he actually didn’t remember me because i put my hair in a bun and then proceeded to give me his own nickname for me because it was too hard to remember mine. my name is three letters long.,
